2026-05-16 23:13:48.279501 | idioma: pt | pergunta: elefante | voucher: ZOO97767
2026-05-17 00:38:12.319522 | idioma: en | pergunta: leão | voucher: ZOO31470
2026-05-17 00:38:14.797322 | idioma: en | pergunta: leão | voucher: ZOO86177
2026-05-17 00:38:16.432541 | idioma: en | pergunta: elefante | voucher: ZOO15111
2026-05-17 00:38:18.765805 | idioma: en | pergunta: arara | voucher: ZOO01604
2026-05-17 00:48:47.729956 | idioma: pt | pergunta: elefante | voucher: ZOO68401
2026-05-17 00:48:50.150028 | idioma: pt | pergunta: tigre | voucher: ZOO02393
2026-05-17 00:48:51.700083 | idioma: pt | pergunta: leão | voucher: ZOO66349
2026-05-17 00:48:53.368113 | idioma: pt | pergunta: zebra | voucher: ZOO80832
2026-05-17 00:48:54.870283 | idioma: pt | pergunta: girafa | voucher: ZOO69985
2026-05-17 00:48:56.368359 | idioma: pt | pergunta: tigre | voucher: ZOO53268
2026-05-17 00:48:58.316693 | idioma: pt | pergunta: elefante | voucher: ZOO10393
2026-05-17 00:49:05.398321 | idioma: en | pergunta: tigre | voucher: ZOO33807
2026-05-17 00:49:07.219609 | idioma: en | pergunta: elefante | voucher: ZOO13472
2026-05-17 00:49:09.066824 | idioma: en | pergunta: arara | voucher: ZOO45177
2026-05-17 00:49:10.847662 | idioma: en | pergunta: leão | voucher: ZOO98323
2026-05-17 00:49:12.283159 | idioma: en | pergunta: girafa | voucher: ZOO45153
2026-05-17 00:49:13.501551 | idioma: en | pergunta: girafa | voucher: ZOO47239
2026-05-17 00:49:14.616713 | idioma: en | pergunta: girafa | voucher: ZOO02609
2026-05-17 00:49:15.697273 | idioma: en | pergunta: girafa | voucher: ZOO78278
2026-05-17 00:52:44.614293 | idioma: pt | pergunta: leão | voucher: ZOO72355
2026-05-17 00:52:56.685874 | idioma: pt | pergunta: elefante | voucher: ZOO79433
2026-05-17 00:52:59.908046 | idioma: pt | pergunta: tigre | voucher: ZOO34480
2026-05-17 00:53:04.486169 | idioma: pt | pergunta: arara | voucher: ZOO26901
2026-05-17 00:53:15.499551 | idioma: pt | pergunta: girafa. | voucher: ZOO25783
2026-05-17 00:55:57.969608 | idioma: en | pergunta: leão | voucher: ZOO81362
2026-05-17 00:56:01.433767 | idioma: en | pergunta: girafa | voucher: ZOO03913
2026-05-17 00:56:05.223735 | idioma: en | pergunta: arara | voucher: ZOO44694
2026-05-17 12:08:17.838093 | idioma: pt | pergunta: girafa | voucher: ZOO72134
2026-05-17 12:29:53.260163 | idioma: pt | pergunta: leão | voucher: ZOO06807
2026-05-17 12:30:07.860643 | idioma: pt | pergunta: girafa. | voucher: ZOO17022
2026-05-17 12:35:37.324012 | idioma: pt | pergunta: girafa | voucher: ZOO13010
2026-05-17 12:35:42.029411 | idioma: pt | pergunta: leão | voucher: ZOO45306
2026-05-17 12:35:45.223019 | idioma: pt | pergunta: elefante | voucher: ZOO07439
2026-05-17 12:35:50.705380 | idioma: pt | pergunta: tigre | voucher: ZOO52193
2026-05-17 12:37:42.596766 | idioma: pt | pergunta: elefante | voucher: ZOO82757
2026-05-17 12:42:36.903599 | idioma: pt | pergunta: leão | voucher: ZOO11622
2026-05-17 12:42:42.422157 | idioma: pt | pergunta: elefante | voucher: ZOO67360
2026-05-17 12:42:47.369245 | idioma: pt | pergunta: tigre | voucher: ZOO91225
2026-05-17 12:43:02.518201 | idioma: en | pergunta: elefante | voucher: ZOO31490
2026-05-17 12:48:33.209522 | idioma: pt | pergunta: zebra | voucher: ZOO46527
2026-05-17 12:49:47.008037 | idioma: pt | pergunta: girafa | voucher: ZOO46377
2026-05-17 12:49:57.136252 | idioma: pt | pergunta: tigre | voucher: ZOO19686
2026-05-17 12:50:04.423207 | idioma: pt | pergunta: zebra | voucher: ZOO16334
2026-05-17 12:50:11.786653 | idioma: pt | pergunta: leão | voucher: ZOO21806
2026-05-17 14:14:43.567828 | idioma: pt | pergunta: arara | voucher: ZOO62277
2026-05-17 14:15:00.370045 | idioma: pt | pergunta: elefante | voucher: ZOO01471
2026-05-17 14:15:09.802240 | idioma: pt | pergunta: zebra | voucher: ZOO35330
2026-05-17 14:15:18.966252 | idioma: pt | pergunta: leão | voucher: ZOO89502
2026-05-17 14:16:55.401297 | idioma: pt | pergunta: leão | voucher: ZOO92798
2026-05-17 14:17:05.951731 | idioma: pt | pergunta: elefante | voucher: ZOO49644
2026-05-17 14:17:13.309197 | idioma: pt | pergunta: girafa | voucher: ZOO14819
2026-05-17 14:17:33.894150 | idioma: pt | pergunta: girafa | voucher: ZOO35327
2026-05-17 14:17:46.557198 | idioma: pt | pergunta: tigre | voucher: ZOO14335
2026-05-17 14:18:17.638738 | idioma: pt | pergunta: tigre | voucher: ZOO46317
2026-05-17 14:21:24.314682 | idioma: pt | pergunta: leão | voucher: ZOO99768
2026-05-17 14:21:31.817816 | idioma: pt | pergunta: elefante | voucher: ZOO94539
2026-05-17 14:22:04.925999 | idioma: pt | pergunta: girafa | voucher: ZOO91813
2026-05-17 14:22:09.115203 | idioma: pt | pergunta: girafa | voucher: ZOO23126
2026-05-17 14:29:32.293687 | idioma: pt | pergunta: leão | voucher: ZOO27937
2026-05-17 22:07:07.508945 | idioma: pt | pergunta: girafa | voucher: ZOO33511
2026-05-17 22:07:16.842295 | idioma: pt | pergunta: elefante | voucher: ZOO28242
2026-05-17 22:26:42.815053 | idioma: pt | pergunta: girafa | voucher: ZOO13797
2026-05-17 22:26:47.501123 | idioma: pt | pergunta: elefante | voucher: ZOO40074
2026-05-17 22:26:51.419884 | idioma: pt | pergunta: arara | voucher: ZOO32428
2026-05-17 22:26:55.502184 | idioma: pt | pergunta: arara | voucher: ZOO02815
2026-05-17 22:27:09.549122 | idioma: en | pergunta: leão | voucher: ZOO35409
2026-05-17 22:27:13.421606 | idioma: en | pergunta: zebra | voucher: ZOO41982
2026-05-17 22:27:16.275193 | idioma: en | pergunta: elefante | voucher: ZOO27257
2026-05-17 22:27:19.605132 | idioma: en | pergunta: leão | voucher: ZOO86164
2026-05-17 22:27:22.735005 | idioma: en | pergunta: leão | voucher: ZOO93414
2026-05-17 23:58:06.845910 | idioma: pt | pergunta: tigre | voucher: ZOO32816
2026-05-17 23:59:07.412422 | idioma: pt | pergunta: arara | voucher: ZOO75596
2026-05-17 23:59:18.973179 | idioma: pt | pergunta: zebra | voucher: ZOO34993
2026-05-17 23:59:29.883179 | idioma: pt | pergunta: o que o leão come | voucher: ZOO14437
2026-05-18 08:37:43.906867 | idioma: pt | pergunta: tigre. | voucher: ZOO30424
2026-05-18 08:38:55.668658 | idioma: en | pergunta: girafa | voucher: ZOO03941
2026-05-18 11:40:55.008140 | idioma: pt | pergunta: arara | voucher: ZOO23534
2026-05-18 11:41:09.044435 | idioma: pt | pergunta: elefante | voucher: ZOO85145
2026-05-18 12:01:08.036107 | idioma: pt | pergunta: arara | voucher: ZOO12523
2026-05-18 12:01:23.220810 | idioma: pt | pergunta: tigre | voucher: ZOO00329
2026-05-19 10:03:31.470825 | idioma: pt | pergunta: girafa | voucher: ZOO32963
2026-05-19 10:03:33.858720 | idioma: pt | pergunta: girafa | voucher: ZOO45761
2026-05-19 10:03:46.379475 | idioma: pt | pergunta: girafa | voucher: ZOO91145
2026-05-19 10:27:54.070117 | idioma: pt | pergunta: tigre | voucher: ZOO39405
2026-05-19 10:33:49.983364 | idioma: pt | pergunta: elefante | voucher: ZOO04403
2026-05-19 10:33:55.940154 | idioma: pt | pergunta: girafa | voucher: ZOO66519
2026-05-19 10:34:04.265702 | idioma: pt | pergunta: tigre | voucher: ZOO36174
2026-05-19 10:42:15.101721 | idioma: pt | pergunta: elefante | voucher: ZOO53676
2026-05-19 10:42:25.631570 | idioma: pt | pergunta: tigre | voucher: ZOO83083
2026-05-19 10:42:35.551695 | idioma: pt | pergunta: girafa | voucher: ZOO25529
2026-05-19 10:42:44.092736 | idioma: pt | pergunta: zebra | voucher: ZOO41201
2026-05-19 10:42:51.998889 | idioma: pt | pergunta: arara | voucher: ZOO64998
2026-05-19 10:42:59.079815 | idioma: pt | pergunta: leão | voucher: ZOO98456
2026-05-19 10:51:55.309822 | idioma: pt | pergunta: elefante | voucher: ZOO37405
2026-05-19 10:51:58.924061 | idioma: pt | pergunta: leão | voucher: ZOO13081
2026-05-19 10:53:45.443957 | idioma: pt | pergunta: arara | voucher: ZOO56572
2026-05-19 10:54:30.249395 | idioma: pt | pergunta: girafa | voucher: ZOO16719
2026-05-19 10:54:43.254213 | idioma: pt | pergunta: zebra | voucher: ZOO61928
2026-05-19 10:54:44.146004 | idioma: pt | pergunta: zebra | voucher: ZOO76280
2026-05-19 11:00:29.066184 | idioma: en | pergunta: tigre | voucher: ZOO35551
2026-05-19 11:01:24.435453 | idioma: pt | pergunta: arara | voucher: ZOO88724
2026-05-19 11:01:50.803634 | idioma: pt | pergunta: como fazer a unha | voucher: None
2026-05-19 11:02:00.261378 | idioma: pt | pergunta: como fazer a unha | voucher: None
2026-05-19 11:02:01.288800 | idioma: pt | pergunta: como fazer a unha | voucher: None
2026-05-19 11:02:05.053112 | idioma: pt | pergunta: como fazer a unha | voucher: None
2026-05-19 11:42:31.982327 | idioma: pt | pergunta: leão | voucher: ZOO05503
2026-05-19 11:42:44.956824 | idioma: pt | pergunta: tigre | voucher: ZOO42498
2026-05-19 11:42:58.558343 | idioma: pt | pergunta: arara | voucher: ZOO40990
2026-05-19 11:43:05.269161 | idioma: pt | pergunta: elefante | voucher: ZOO76859
2026-05-19 11:43:17.801559 | idioma: pt | pergunta: zebra | voucher: ZOO68386
2026-05-19 11:43:32.035002 | idioma: pt | pergunta: girafa | voucher: ZOO67870
2026-05-19 11:52:56.215760 | idioma: pt | pergunta: leão | voucher: ZOO37115
2026-05-19 11:58:19.761796 | idioma: pt | pergunta: leão | voucher: ZOO41015
2026-05-20 10:57:23.701946 | idioma: pt | pergunta: elefante | voucher: ZOO78784
2026-05-20 10:57:32.858059 | idioma: pt | pergunta: tigre | voucher: ZOO23479
2026-05-20 12:14:46.101772 | idioma: pt | pergunta: tigre | voucher: ZOO02913
2026-05-20 12:14:57.119629 | idioma: pt | pergunta: leão | voucher: ZOO80346
2026-05-20 12:18:38.267106 | idioma: pt | pergunta: leão | voucher: ZOO13562
2026-05-20 12:20:13.005794 | idioma: pt | pergunta: elefante | voucher: ZOO63384
2026-05-20 12:46:22.797439 | idioma: pt | pergunta: leão | voucher: ZOO64709
2026-05-20 12:46:26.187151 | idioma: pt | pergunta: leão | voucher: ZOO48398
2026-05-20 12:46:41.123153 | idioma: pt | pergunta: arara | voucher: ZOO26505
2026-05-20 13:31:53.592454 | idioma: en | pergunta: elefante | voucher: ZOO21472
2026-05-20 13:31:53.600412 | idioma: en | pergunta: elefante | voucher: ZOO68450
2026-05-20 13:33:21.372779 | idioma: en | pergunta: arara | voucher: ZOO67678
